,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
694,694,8.0,0.214,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Уверенность, что в ближайшем будущем цифровизация будет только наращивать свои объёмы и я буду к этому причастен"
695,695,2.0,0.3784,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Отсутствие технических проблем при цифровизации с целью оптимизации процессов.
696,696,1.0,0.335,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Развиваться вместе с клиентами и партнерами
697,697,5.0,0.2314,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Цивилизационный прорыв
698,698,3.0,0.3977,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический",В первую очередь решить вопрос с достойной оплатой рабочих. Остальные причины не имеют совершенно никакого смысла без решения данной проблемы. А она не решается годами.
699,699,0.0,0.3426,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид","Владелец интеллектуальной собственности должен иметь определённую долю с прибыли при реализации идеи и на всём её жизненном пути. Если изобретя паровоз и установив его на рельсы в дальнейшем автор объекта интеллектуальной собственности отстраняется, даже при отсутствии необходимости дальнейших улучшений, то стимула генерировать что-то новое и воплощать это в жизнь нет. Также наука не должна искать деньги. Наука, это не завтрашняя прибыль, это перспектива. В том случае, если это не учитывать, через несколько лет мы ещё глубже сваливаемся в яму невежества."
700,700,8.0,0.3779,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Считаю, что по-настоящему большой, амбициозной и значимой для России и всего мира целью стоит сделать разработку и повсеместное коммерческое внедрение энергетических установок будущего: - Реакторы замкнутого топливного цикла - позволят минимизировать воздействие атомной отрасли на экологию; - Типовые реакторы малой и средней мощности - позволят шире использовать ядерную энергетику для удовлетворения потребностей различных клиентов, а также снизить себестоимость за счет серийного производства унифицированных узлов и агрегатов; - Субкомпактные реакторы - для обеспечения потребностей программ по освоению космоса, а также энергоснабжения высокоавтономных военных систем будущего; - Реакторы термоядерного синтеза - высшая ступень ядерных энергетических технологий."
701,701,4.0,0.2785,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата",производство новых инновационных продуктов.
702,702,8.0,0.2805,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Полный переход на индустрию 4.0. Внедрение стандартов по индустрии 5.0. Разработка собственных готовых технических решений в области автоматизации.
703,703,2.0,0.2786,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Быть частью целостного, стратегически-важного, международного проекта, работать в единой команде и быть нацеленным на результат"
704,704,2.0,0.3214,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Постоянное повышение благосостояния сотрудников
705,705,9.0,0.2627,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой","Повышение благосостояния и качества жизни граждан РФ, улучшение экологического состояния окружающей среды в РФ и во всем мире"
706,706,7.0,0.3822,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность","Большая цель: ГК ""Росатом"" - глобальная мировая компания №1, по строительству и обслуживанию АЭС, выпуску оборудования, ядерного топлива для АЭС; успешная, современная компания, использующая в производстве новые передовые технологии и научные достижения, в которой работают лучшие специалисты в своей области. Может вдохновить на работу и наполнить смыслом труд: Интересная работа, новейшая оргтехника в офисе, повышение квалификации сотрудников, условий труда (индивидуальных рабочих мест, просторный современный офис, хорошая офисная мебель, хорошая организация питания), социального (медицинское обслуживание, пенсионное обеспечение, санаторно-курортное обслуживание, культурно массовые мероприятия и др.) и материального обеспечения сотрудников (рост заработной платы, премий, бонусов)."
707,707,5.0,0.415,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный","Для меня ""большая цель"" чтобы моя организация АО ""НИИП"" вошло в команду лидеров. Больших результатов мы всегда достигаем благодаря команде! Заручится поддержкой сильных лидеров! Это позволит нам иметь силу и уверенность более опытных людей, опираться на них, получать необходимые советы.И через некоторое время вы создадим историю своего успеха! Успех приходит к тем, кто идет к нему!"
708,708,1.0,0.3191,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Из стратегических целей Росатома - новые продукты для международных и российского рынков. ""Большая цель"" - повышение имиджа отрасли. Имидж невозможен без должной заботы о кадрах. К сожалению, контингент, приходящий на работу сейчас, отличается по эфффективности работы, знаниям от молодых специалистов, которые приходили в отрасль 30-40 лет назад."
709,709,1.0,0.2843,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","На сегодняшний день, мне нравится работать в системе Росатом. думаю,сделать Росатом лучшим работодателем в масштабе как России так и мира,стало бы значительной целью, в которую я хотела бы внести свою лепту."
710,710,1.0,0.2573,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","У меня и сейчас не мало вдохновения и смысла в работе в РОсатоме, вот уже тринадцатый год пошел, а энтузиазма не уменьшилось. Конечно мыль о том, что я работаю в команде мирового ядерного лидера и компании, которая на сегодняшний день одна из самых динамично развивающихся компаний в России - меня вдохновляет еще больше. И еще вдохновляет на работу в Росатоме то, что мы развиваемся не за счет ресурсов природы, а за счет сохранения и развития имеющихся ресурсов, появления новых интеллектуальных продуктов, но при этом основываемся на лучших традициях заложенных основателями отрасли."
711,711,8.0,0.3981,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",повышение эффективности деятельности
712,712,2.0,0.2115,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Завоёвывание новых рынков , строительство новых аэс"
713,713,6.0,0.4028,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Безопасная энергия, Атом на благо здоровья...."
714,714,2.0,0.34,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","создание и успешная реализация проектов, изменяющих мир, предоставляющих новые возможности людям"
715,715,4.0,0.2864,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата","Стимулирование работы премиями, перспективы развития в своей области, обучение и улучшения квалификационных навыков"
716,716,1.0,0.3266,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",проектное управление
717,717,2.0,0.3398,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Главная цель ""Росатома"" это снабжение энергией населения России. Большая же цель ""Росатома"", по моему мнению, должна состоять в снабжении энергией населения всего мира. Мы, акционеры и работники ГК, должны, каждый в своей мере, способствовать этой ""большой"" цели."
718,718,5.0,0.2371,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Чистое и безопасное будущее наших детей.
719,719,8.0,0.2988,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Полное отсутствие бумажного документооборота и цифровизация абсолютно всех процессов. Возможность управлять любым, даже самым сложным процессом с простого смартфона или планшета."
720,720,1.0,0.3215,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Росатом - лидер внедрения инновационных технологий, использующих атомную энергию, в гражданской промышленности."
721,721,3.0,0.3012,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический",улучшение благосостояния своих сотрудников
722,722,1.0,0.3319,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Повышениедоли на международных рынках. А если честно, то большая цель заключается в создании тех ценностей и материальных благ над которыми трудились наши отцы и деды. В современном мире наблюдается тенденция когда госкомпании проедают ""запас"" который получили по наследству, занимаясь выстраиванием процессов не создавая, как говорится, добавленной стоимости, не создавая ничего, а тем временем износ производственных мощностей/фонда может приближаться к 90%."
723,723,8.0,0.3089,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Обеспечение безопасности населения, страны и, соответственно, каждого человека."
724,724,0.0,0.2471,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",Господство на мировом рынке
725,725,8.0,0.4344,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Строительство новых энергоблоков АЭС большой мощности последнего поколения 3+.*
726,726,1.0,0.3083,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Новые технологии для российского и зарубежного рынков
727,727,0.0,0.2459,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",безопасная и чистая энергия для людей счастливое завтра быть лучшим а не казаться
728,728,2.0,0.3784,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Обеспечение безопасности и экономического роста РФ
729,729,4.0,0.2292,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата",Повышение благополучия и благосостояния россиян.
730,730,1.0,0.3369,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Повышение прозрачности и эффективности управления
731,731,8.0,0.3779,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Покольку Росатом - компания, которая работает как внутри страны, так и за ее пределами, то по моему мнению целей должно быть как минимум две: одна - ""внуреняя"", другая - ""внешняя"" Укрепление позиций России на международной арене"
732,732,8.0,0.361,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Лидерство на рынке новых технологий
733,733,1.0,0.3129,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Освоение альтернативных источников энергии и создания ""экологичных"" производств. Регенерация природных ресурсов."
734,734,9.0,0.2929,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой","Увеличение заинтересованности в ценностях Госкорпорации ""Росатом"", в частности в отношении ценности ""Единая команда"" на линейном уровне. В настоящий момент зачастую присутствуют противоборства между смежными подразделениями, которые не идут на пользу выполнению общих результатов организации и отрасли в целом."
735,735,0.0,0.2727,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",Активное и продуманное внедрение бережливого производства на всех уровнях.
736,736,1.0,0.2573,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Росатом: - мировой лидер в строительстве АЭС - корпорация, формирующая тренды для внутренних и внешних рынков (цифра, ядерная медицина, наследие, новые материалы и т.п.) - интегратор науки и технологий (поддержка и развитие фундаментальной науки и технологий)"
737,737,5.0,0.2321,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Цифровая трансформация росатома
738,738,3.0,0.3058,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический","Приносить пользу предприятию, на котором работаю."
739,739,7.0,0.4541,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность","Обеспечение источниками энергии глобально, но особенно удаленных и независимых объектов."
740,740,0.0,0.3553,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",Ежедневный труд у меня заполнен смыслом
741,741,1.0,0.3319,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Инновационное, технологическое и безопасное развитие атомных технологий для человека. Обеспечение радиационной безопасности населения и территорий."
742,742,1.0,0.2309,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Цель Росатома- сделать Россию крупнейшим производителем в мире экологически-чистой энергии.
743,743,8.0,0.2701,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Служение стране, не коммерческая составляющая как основная."
744,744,1.0,0.4087,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Разработка новых технологий для снижения стоимости 1 Кв/час для населения (не производств и бизнеса, а для домов/квартир)!"
745,745,4.0,0.3656,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата","развитие НИОКР в периметре контура ГК ""Росатом"", разработка новых перспективных разработок неядернего характера. Сохранение научного и технического человеческого потенциала предприятий ГК ""Росатом""."
746,746,1.0,0.2893,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",снижение себестоимости продукции
747,747,2.0,0.2439,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Поднятие благосостояния
748,748,5.0,0.4125,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Организация обучения с целью повышения профессионального уровня и производительности труда. Повышение квалификации сотрудников как вид дополнительного профессионального образования в связи с необходимостью успевать за научно-техническим прогрессом.
749,749,8.0,0.4126,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","целью должна стать справедливость во всем. в региональных небольших компаниях должности, исн, зп, интересные проекты распределяются исключительно по причине родственных связей. Опыт работы и возможности человека, который ""ничей"" не интересны."
750,750,1.0,0.2795,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","завоевывание новых рынков, новые контракты на строительство АЭС за рубежом"
751,751,8.0,0.2656,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Работа на благо своей страны. Видеть и осознавать, как мой труд меняет жизнь других людей к лучшему"
752,752,1.0,0.4087,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Участие в создании и развитии информационных систем в том числе для международных проектов, создание единого цифрового пространства."
753,753,2.0,0.4348,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Достижение глобального лидерства на международном рынке атомной энергетики.
754,754,6.0,0.272,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный",Сделать будущее наших детей светлым.
755,755,6.0,0.3705,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный",Работа над зарубежными проектами
756,756,2.0,0.4793,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",крупные успешные прибыльные проекты на международном рынке
757,757,9.0,0.2705,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой","повышение качества жизни граждан РФ и сотрудников ГК в частности на всех временных горизонтах: краткосрочном, среднесрочном и долгосрочном. Это цель самого высокого уровня, т.е. миссия. В свою очередь ""качество"" понятие многогранное и может включить: балогосостояние; безопасность, в т.ч. военная; здоровье и медицина; уважение и самореализация; экология и пр."
758,758,1.0,0.3315,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Изменение качества жизни людей в мире - в лучшую сторону
759,759,1.0,0.3543,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Сделать мир чистым от загрязнений.
760,760,8.0,0.5982,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Работать в команде лучшей из лучших организаций в мире в области атомной энергии
761,761,8.0,0.3475,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Разработка и выпуск новых продуктов для российского и международных рынков
762,762,9.0,0.2511,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой",Международный рынок
763,763,8.0,0.2907,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Отсутствие ненужных программ (SAP HRM, ERP). Закупочные процедуры."
764,764,1.0,0.3013,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Прорывные технологии в области безопасной возобновляемых энергетических ресурсов.
765,765,2.0,0.3094,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Улучшение уровня жизни и безопасности в России.
766,766,2.0,0.2533,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Продвижение по карьерной лестнице.
767,767,2.0,0.2108,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Заинтересованность корпорации в преемственности и карьерном росте сотрудников-специалистов.
768,768,1.0,0.2573,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Обеспечение безопасной и надёжной эксплуатации подведомственного оборудования.
769,769,1.0,0.4092,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",альтернативные источники энергии.
770,770,8.0,0.3436,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Росатом глобальный лидер в мире, цель- монополизм сырья и технологий."
771,771,5.0,0.379,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Освоение СМП. Массовое производство АСММ
772,772,0.0,0.3428,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",Оплата труда значительно выше среднерыночной по региону.
773,773,9.0,0.4431,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой",Разработка методов диагностики и лечения на основе ядерных технологий.
774,774,6.0,0.3392,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Отказаться от большого количества бумажной работы и заняться действительно работой, а не приземлением всех приказов в компании. Если приказы спускались и это уже считалось бы их принятием, то эффективность от работы каждого сотрудника была бы выше, нежели он тратит время на издание и подписание приказов и регламентов внутри компании."
775,775,5.0,0.1939,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Внедрение комплексной системы автоматизированного проектирования на основе электронной математической модели общего расположения помещений АЭС.
776,776,5.0,0.4222,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Любовь к Родине
777,777,7.0,0.3558,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Командный дух. Работа с единомышленниками в одной упряжке. Но все это должно быть подтверждено достойной для жизни заработной платой. Что бы сотрудники не распылялись и не работали на двух трех работах после своей основной работы. Тогда все силы можно отдать любимой работе.
778,778,1.0,0.2368,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Быть положительным примером проявления ценностей и эффективности. Дать работнику понимание уверенности в завтрашнем дне, возможности развития и роста, морально - устойчивого климата в коллективе."
779,779,5.0,0.5456,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный","Меня вдохновляет сама команда Росатома, его глобальное присутствие, уникальные технологии."
780,780,4.0,0.2682,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата","Добиваться работы всех подразделений без показухи, очковтирательства и авралов."
781,781,8.0,0.3779,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Реализация стратегических целей ГК Росатом в команде единомышленников, в т.ч. ""Снижение сроков протекания процессов""."
782,782,1.0,0.255,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Увеличение доли на международных рынках
783,783,1.0,0.4891,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","ГК ""Росатом"" лидер на мировой арене с достойным вознаграждением за труд"
784,784,8.0,0.2608,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Значительное развитие научной мысли в области атомной энергетики и смежных областях науки и техники
785,785,8.0,0.214,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Улучшение качества жизни: - развитие новых технологий в жизненно важных сферах (медицина, транспорт, образование, обеспечение продуктами питания и т.д.) и их доступность для населения - решение экологических проблем"
786,786,1.0,0.414,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Повышение конкурентоспособности новых и действующих энергоблоков АЭС Концерна
787,787,7.0,0.2953,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Спасение мира.
788,788,5.0,0.2983,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Принятие разрабатываемой документации Заказчиком с первого раза
789,789,5.0,0.232,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный","Определяю для себя несколько целей, которые в совокупности отвечают на поставленный вопрос: 1. вклад в снижение объема выбросов CO2 в атмосферу; 2. лидер в области мирного атома и ""атомных"" технологий; 3. повышение благосостояния и улучшение качества жизни граждан России."
790,790,8.0,0.2781,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Усовершенствование себя в профессии, повышение своей квалификации."
791,791,2.0,0.452,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Создание нового ядерного реактора
792,792,1.0,0.2894,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Достойная жизнь людей родившихся, работающих, посвящающих и посвятивших свою жизнь России!"
793,793,7.0,0.2726,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Сделать мир лучше.
794,794,1.0,0.2573,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",социальная поддержка в части целевого образования наших детей
795,795,2.0,0.3154,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Новые направления и безопасность
796,796,2.0,0.3784,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Обеспечения достойной заработной платой сотрудников РОСАТОМА.
797,797,1.0,0.3013,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Улучшение жизни граждан, экология."
798,798,5.0,0.3944,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Увеличение эффективности путем дальнейшей цифровизации
799,799,1.0,0.2695,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Северный морской путь
800,800,1.0,0.4427,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Быть мировым лидером в своей области деятельности, в новейших разработках.Обеспечение энергобезопасности страны, ядерного сдерживания. Генерируя прибыль, думать не только о внешних заказчиках, но и о своих сотрудниках, заботясь об окружении(экология, социальные проекты). Для себя - быть причастным к деятельности большой корпорации-флагмана экономики, которая предоставляет долгосрочный найм, обеспечивая условия для результативного труда за достойную оплату."
